xmin,ymin,xmax,ymax,name,file,width,height,class,Xcent,Ycent,boxW,boxH
1869,1678,2153,1757,plate,img_2297,4032,3024,,0.49875992063492064,0.5679563492063492,0.07043650793650794,0.026124338624338623
1826,1493,1972,1535,plate,img_2745,4032,3024,,0.47098214285714285,0.5006613756613757,0.036210317460317464,0.013888888888888888
1804,1510,1983,1556,plate,img_1707,4032,3024,,0.4696180555555556,0.5069444444444444,0.04439484126984127,0.01521164021164021
1727,1733,2065,1824,plate,img_2665,4032,3024,,0.47023809523809523,0.5881283068783069,0.08382936507936507,0.03009259259259259
1957,1694,2189,1746,plate,img_1712,4032,3024,,0.5141369047619048,0.5687830687830688,0.057539682539682536,0.017195767195767195
1774,1512,2058,1585,plate,img_2892,4032,3024,,0.4751984126984127,0.5120701058201058,0.07043650793650794,0.02414021164021164
1692,1476,1877,1528,plate,img_1985,4032,3024,,0.4425843253968254,0.4966931216931217,0.045882936507936505,0.017195767195767195
1655,1588,2185,1723,plate,img_2755,4032,3024,,0.47619047619047616,0.5474537037037037,0.1314484126984127,0.044642857142857144
1793,1834,2174,1933,plate,img_2282,4032,3024,,0.49193948412698413,0.6228505291005291,0.09449404761904762,0.03273809523809524
1663,1835,2206,1964,plate,img_2484,4032,3024,,0.47978670634920634,0.6281415343915344,0.13467261904761904,0.04265873015873016
1970,1555,2145,1602,plate,img_1645,4032,3024,,0.5102926587301587,0.5219907407407407,0.043402777777777776,0.015542328042328041
1814,1552,2108,1634,plate,img_1861,4032,3024,,0.486359126984127,0.5267857142857143,0.07291666666666667,0.027116402116402115
1720,1520,2389,1690,plate,img_1626,4032,3024,,0.5095486111111112,0.5307539682539683,0.16592261904761904,0.056216931216931214
1630,1775,2634,2048,plate,img_1628,4032,3024,,0.5287698412698413,0.6321097883597884,0.2490079365079365,0.09027777777777778
1721,1471,1939,1523,plate,img_2453,4032,3024,,0.4538690476190476,0.49503968253968256,0.05406746031746032,0.017195767195767195
1803,1769,2006,1822,plate,img_1700,4032,3024,,0.4723462301587302,0.59375,0.050347222222222224,0.017526455026455025
1648,1563,1852,1621,plate,img_2574,4032,3024,,0.4340277777777778,0.5264550264550265,0.050595238095238096,0.01917989417989418
1801,1541,1959,1577,plate,img_2455,4032,3024,,0.4662698412698413,0.515542328042328,0.039186507936507936,0.011904761904761904
1743,1687,2043,1763,plate,img_2476,4032,3024,,0.4694940476190476,0.5704365079365079,0.0744047619047619,0.02513227513227513
1907,1468,2132,1528,plate,img_1820,4032,3024,,0.5008680555555556,0.49537037037037035,0.05580357142857143,0.01984126984126984
1836,1513,2008,1561,plate,img_2799,4032,3024,,0.47668650793650796,0.5082671957671958,0.04265873015873016,0.015873015873015872
1796,1698,1969,1737,plate,img_1899,4032,3024,,0.46688988095238093,0.5679563492063492,0.04290674603174603,0.012896825396825396
1668,1630,2140,1736,plate,img_2520,4032,3024,,0.4722222222222222,0.5565476190476191,0.11706349206349206,0.03505291005291005
1684,1938,2199,2064,plate,img_2728,4032,3024,,0.48152281746031744,0.6617063492063492,0.1277281746031746,0.041666666666666664
1853,1631,2056,1683,plate,img_1864,4032,3024,,0.48474702380952384,0.5479497354497355,0.050347222222222224,0.017195767195767195
1691,1550,2210,1699,plate,img_2302,4032,3024,,0.4837549603174603,0.5372023809523809,0.12872023809523808,0.04927248677248677
1769,1685,2057,1755,plate,img_1856,4032,3024,,0.47445436507936506,0.5687830687830688,0.07142857142857142,0.023148148148148147
1488,1940,2274,2135,plate,img_2001,4032,3024,,0.46651785714285715,0.673776455026455,0.1949404761904762,0.06448412698412699
1867,1674,2230,1757,plate,img_1621,4032,3024,,0.5080605158730159,0.5672949735449735,0.0900297619047619,0.027447089947089946
1743,1649,2004,1736,plate,img_2553,4032,3024,,0.4646577380952381,0.5596891534391535,0.06473214285714286,0.028769841269841268
1824,1517,1949,1551,plate,img_1853,4032,3024,,0.4678819444444444,0.5072751322751323,0.031001984126984128,0.011243386243386243
1855,1648,1982,1683,plate,img_2030,4032,3024,,0.4758184523809524,0.550760582010582,0.03149801587301587,0.011574074074074073
1769,1634,1993,1687,plate,img_2894,4032,3024,,0.46651785714285715,0.5491071428571429,0.05555555555555555,0.017526455026455025
1791,1705,2066,1783,plate,img_2397,4032,3024,,0.4782986111111111,0.5767195767195767,0.06820436507936507,0.025793650793650792
1633,1346,1911,1420,plate,img_1684,4032,3024,,0.439484126984127,0.4573412698412698,0.0689484126984127,0.02447089947089947
1819,1466,1963,1498,plate,img_1709,4032,3024,,0.46899801587301587,0.49007936507936506,0.03571428571428571,0.010582010582010581
1778,1402,1943,1439,plate,img_1874,4032,3024,,0.46143353174603174,0.4697420634920635,0.04092261904761905,0.012235449735449735
1679,2014,2134,2140,plate,img_2512,4032,3024,,0.4728422619047619,0.6868386243386243,0.11284722222222222,0.041666666666666664
1780,1527,1988,1581,plate,img_2423,4032,3024,,0.46726190476190477,0.5138888888888888,0.051587301587301584,0.017857142857142856
1709,1690,2106,1798,plate,img_2638,4032,3024,,0.4730902777777778,0.5767195767195767,0.09846230158730158,0.03571428571428571
1817,1638,2011,1692,plate,img_2436,4032,3024,,0.47470238095238093,0.5505952380952381,0.04811507936507937,0.017857142857142856
1862,1482,2118,1553,plate,img_2361,4032,3024,,0.4935515873015873,0.501818783068783,0.06349206349206349,0.023478835978835978
1875,1409,2114,1465,plate,img_1606,4032,3024,,0.4946676587301587,0.4751984126984127,0.05927579365079365,0.018518518518518517
1559,1448,2064,1587,plate,img_2410,4032,3024,,0.44928075396825395,0.501818783068783,0.12524801587301587,0.045965608465608467
1658,1322,1788,1357,plate,img_2330,4032,3024,,0.4273313492063492,0.4429563492063492,0.032242063492063495,0.011574074074074073
1836,1531,2048,1590,plate,img_1984,4032,3024,,0.4816468253968254,0.5160383597883598,0.05257936507936508,0.01951058201058201
1774,1505,2019,1585,plate,img_1983,4032,3024,,0.4703621031746032,0.5109126984126984,0.06076388888888889,0.026455026455026454
1787,1595,2063,1660,plate,img_2384,4032,3024,,0.4774305555555556,0.5381944444444444,0.06845238095238096,0.021494708994708994
1770,1387,2007,1456,plate,img_2369,4032,3024,,0.46837797619047616,0.47007275132275134,0.058779761904761904,0.022817460317460316
1802,1454,2013,1501,plate,img_2860,4032,3024,,0.4730902777777778,0.4885912698412698,0.05233134920634921,0.015542328042328041
1746,1486,2262,1617,plate,img_2901,4032,3024,,0.49702380952380953,0.5130621693121693,0.12797619047619047,0.04332010582010582
1710,1560,1854,1595,plate,img_2577,4032,3024,,0.4419642857142857,0.5216600529100529,0.03571428571428571,0.011574074074074073
1776,1639,1961,1682,plate,img_2686,4032,3024,,0.4634176587301587,0.5491071428571429,0.045882936507936505,0.014219576719576719
1703,1506,2040,1588,plate,img_2681,4032,3024,,0.46416170634920634,0.5115740740740741,0.0835813492063492,0.027116402116402115
1753,1661,2096,1746,plate,img_2342,4032,3024,,0.4773065476190476,0.5633267195767195,0.08506944444444445,0.028108465608465607
1694,1452,2120,1557,plate,img_2304,4032,3024,,0.4729662698412698,0.4975198412698413,0.1056547619047619,0.034722222222222224
1718,1564,2126,1675,plate,img_2301,4032,3024,,0.47668650793650796,0.5355489417989417,0.10119047619047619,0.03670634920634921
1712,1511,2214,1644,plate,img_1687,4032,3024,,0.4868551587301587,0.5216600529100529,0.12450396825396826,0.04398148148148148
1850,1462,2063,1521,plate,img_1829,4032,3024,,0.4852430555555556,0.4932208994708995,0.05282738095238095,0.01951058201058201
1886,1762,2107,1819,plate,img_1692,4032,3024,,0.49516369047619047,0.5920965608465608,0.054811507936507936,0.018849206349206348
1841,1586,2032,1638,plate,img_1838,4032,3024,,0.4802827380952381,0.533068783068783,0.047371031746031744,0.017195767195767195
1886,1716,2064,1758,plate,img_2672,4032,3024,,0.4898313492063492,0.5744047619047619,0.0441468253968254,0.013888888888888888
1693,1529,1938,1583,plate,img_2861,4032,3024,,0.45027281746031744,0.5145502645502645,0.06076388888888889,0.017857142857142856
1668,1446,1893,1512,plate,img_2708,4032,3024,,0.4415922619047619,0.48908730158730157,0.05580357142857143,0.021825396825396824
1866,1505,2070,1554,plate,img_2915,4032,3024,,0.4880952380952381,0.5057870370370371,0.050595238095238096,0.016203703703703703
1755,1490,1996,1561,plate,img_2406,4032,3024,,0.4651537698412698,0.5044642857142857,0.0597718253968254,0.023478835978835978
1906,1564,2194,1628,plate,img_1605,4032,3024,,0.5084325396825397,0.5277777777777778,0.07142857142857142,0.021164021164021163
1772,1654,1961,1702,plate,img_2443,4032,3024,,0.462921626984127,0.5548941798941799,0.046875,0.015873015873015872
1794,1582,1985,1630,plate,img_2885,4032,3024,,0.46862599206349204,0.531084656084656,0.047371031746031744,0.015873015873015872
1605,1653,2265,1848,plate,img_2264,4032,3024,,0.4799107142857143,0.5788690476190477,0.1636904761904762,0.06448412698412699
1806,1529,2030,1589,plate,img_2270,4032,3024,,0.4756944444444444,0.515542328042328,0.05555555555555555,0.01984126984126984
1813,1473,2020,1527,plate,img_1691,4032,3024,,0.47532242063492064,0.49603174603174605,0.05133928571428571,0.017857142857142856
1790,1426,2015,1488,plate,img_1948,4032,3024,,0.47185019841269843,0.4818121693121693,0.05580357142857143,0.0205026455026455
1717,1483,2034,1565,plate,img_2584,4032,3024,,0.4651537698412698,0.503968253968254,0.07862103174603174,0.027116402116402115
1709,1647,2054,1737,plate,img_2420,4032,3024,,0.46664186507936506,0.5595238095238095,0.08556547619047619,0.02976190476190476
1826,1600,1936,1636,plate,img_2634,4032,3024,,0.46651785714285715,0.53505291005291,0.027281746031746032,0.011904761904761904
1748,1530,1940,1580,plate,img_1958,4032,3024,,0.4573412698412698,0.5142195767195767,0.047619047619047616,0.016534391534391533
1609,1556,1995,1641,plate,img_2450,4032,3024,,0.4469246031746032,0.5286044973544973,0.09573412698412699,0.028108465608465607
1861,1636,2001,1671,plate,img_1927,4032,3024,,0.4789186507936508,0.546792328042328,0.034722222222222224,0.011574074074074073
1767,1383,1979,1435,plate,img_2766,4032,3024,,0.4645337301587302,0.46593915343915343,0.05257936507936508,0.017195767195767195
1720,1513,1919,1565,plate,img_1893,4032,3024,,0.45126488095238093,0.5089285714285714,0.04935515873015873,0.017195767195767195
1825,1674,1974,1713,plate,img_2505,4032,3024,,0.4711061507936508,0.5600198412698413,0.03695436507936508,0.012896825396825396
1793,1594,1975,1645,plate,img_2272,4032,3024,,0.46726190476190477,0.5355489417989417,0.04513888888888889,0.016865079365079364
1829,1463,2081,1523,plate,img_1677,4032,3024,,0.48487103174603174,0.4937169312169312,0.0625,0.01984126984126984
1831,1642,1979,1680,plate,img_2674,4032,3024,,0.4724702380952381,0.5492724867724867,0.03670634920634921,0.012566137566137565
1875,1717,2155,1787,plate,img_1649,4032,3024,,0.49975198412698413,0.5793650793650794,0.06944444444444445,0.023148148148148147
1565,1612,2189,1790,plate,img_1976,4032,3024,,0.46552579365079366,0.5625,0.15476190476190477,0.05886243386243386
1827,1505,2081,1570,plate,img_1641,4032,3024,,0.48462301587301587,0.5084325396825397,0.06299603174603174,0.021494708994708994
1807,1383,2258,1509,plate,img_1676,4032,3024,,0.5040922619047619,0.4781746031746032,0.11185515873015874,0.041666666666666664
1815,1755,2025,1819,plate,img_2271,4032,3024,,0.47619047619047616,0.5909391534391535,0.052083333333333336,0.021164021164021163
1877,1531,2040,1576,plate,img_1681,4032,3024,,0.4857390873015873,0.513723544973545,0.040426587301587304,0.01488095238095238
1858,1419,1963,1446,plate,img_1878,4032,3024,,0.4738343253968254,0.47371031746031744,0.026041666666666668,0.008928571428571428
1821,1549,1982,1592,plate,img_2027,4032,3024,,0.47160218253968256,0.5193452380952381,0.03993055555555555,0.014219576719576719
1730,1405,1984,1467,plate,img_2881,4032,3024,,0.46056547619047616,0.4748677248677249,0.06299603174603174,0.0205026455026455
1679,2313,2361,2514,plate,img_1658,4032,3024,,0.5009920634920635,0.7981150793650794,0.1691468253968254,0.06646825396825397
1818,1691,2094,1770,plate,img_2510,4032,3024,,0.4851190476190476,0.572255291005291,0.06845238095238096,0.026124338624338623
1715,1482,2050,1576,plate,img_2408,4032,3024,,0.46688988095238093,0.5056216931216931,0.08308531746031746,0.031084656084656083
1750,1539,1981,1592,plate,img_2422,4032,3024,,0.4626736111111111,0.517691798941799,0.057291666666666664,0.017526455026455025
1759,1468,1900,1504,plate,img_2007,4032,3024,,0.4537450396825397,0.4914021164021164,0.034970238095238096,0.011904761904761904
1844,1372,1974,1405,plate,img_1907,4032,3024,,0.47346230158730157,0.4591600529100529,0.032242063492063495,0.010912698412698412
